N, f, Alpha, T_le, Seed, Latency
70, 34, 0.1, 200, 2, 284
70, 34, 0.1, 200, 3, 266
70, 34, 0.1, 200, 4, 294
70, 34, 0.1, 200, 5, 286
70, 34, 0.1, 100, 1, 187
70, 34, 0.1, 100, 2, 178
70, 34, 0.1, 100, 3, 202
70, 34, 0.1, 100, 4, 186
70, 34, 0.1, 100, 5, 196
70, 34, 0.1, 50, 1, 132
70, 34, 0.1, 50, 2, 131
70, 34, 0.1, 50, 3, 126
70, 34, 0.1, 50, 4, 130
70, 34, 0.1, 50, 5, 121
70, 34, 0.1, 30, 1, 117
70, 34, 0.1, 30, 2, 109
70, 34, 0.1, 30, 3, 113
70, 34, 0.1, 30, 4, 112
70, 34, 0.1, 30, 5, 124
70, 34, 0.1, 20, 1, 105
70, 34, 0.1, 20, 2, 97
70, 34, 0.1, 20, 3, 89
70, 34, 0.1, 20, 4, 111
70, 34, 0.1, 20, 5, 93
70, 34, 0.1, 10, 1, 97
70, 34, 0.1, 10, 2, 88
70, 34, 0.1, 10, 3, 98
70, 34, 0.1, 10, 4, 95
70, 34, 0.1, 10, 5, 98
70, 34, 1, 200, 1, 283
70, 34, 1, 200, 2, 288
70, 34, 1, 200, 3, 275
70, 34, 1, 200, 4, 284
70, 34, 1, 200, 5, 283
70, 34, 1, 100, 1, 189
70, 34, 1, 100, 2, 180
70, 34, 1, 100, 3, 172
70, 34, 1, 100, 4, 182
70, 34, 1, 100, 5, 186
70, 34, 1, 50, 1, 140
70, 34, 1, 50, 2, 139
70, 34, 1, 50, 3, 129
70, 34, 1, 50, 4, 129
70, 34, 1, 50, 5, 137
70, 34, 1, 30, 1, 119
70, 34, 1, 30, 2, 124
70, 34, 1, 30, 3, 102
70, 34, 1, 30, 4, 117
70, 34, 1, 30, 5, 98
70, 34, 1, 20, 1, 112
70, 34, 1, 20, 2, 118
70, 34, 1, 20, 3, 107
70, 34, 1, 20, 4, 123
70, 34, 1, 20, 5, 107
70, 34, 1, 10, 1, 110
70, 34, 1, 10, 2, 84
70, 34, 1, 10, 3, 94
70, 34, 1, 10, 4, 98
70, 34, 1, 10, 5, 91
100, 49, 0, 200, 1, 251
100, 49, 0, 200, 2, 253
100, 49, 0, 200, 3, 258
100, 49, 0, 200, 4, 261
100, 49, 0, 200, 5, 254
100, 49, 0, 100, 1, 146
100, 49, 0, 100, 2, 150
100, 49, 0, 100, 3, 155
100, 49, 0, 100, 4, 158
100, 49, 0, 100, 5, 150
100, 49, 0, 50, 1, 108
100, 49, 0, 50, 2, 106
100, 49, 0, 50, 3, 95
100, 49, 0, 50, 4, 98
100, 49, 0, 50, 5, 102
100, 49, 0, 30, 1, 83
100, 49, 0, 30, 2, 94
100, 49, 0, 30, 3, 76
100, 49, 0, 30, 4, 79
100, 49, 0, 30, 5, 83
100, 49, 0, 20, 1, 70
100, 49, 0, 20, 2, 72
100, 49, 0, 20, 3, 70
100, 49, 0, 20, 4, 77
100, 49, 0, 20, 5, 70
100, 49, 0, 10, 1, 69
100, 49, 0, 10, 2, 71
100, 49, 0, 10, 3, 65
100, 49, 0, 10, 4, 61
100, 49, 0, 10, 5, 63
100, 49, 0.1, 200, 1, 285
100, 49, 0.1, 200, 2, 287
100, 49, 0.1, 200, 3, 280
100, 49, 0.1, 200, 4, 280
100, 49, 0.1, 200, 5, 269
100, 49, 0.1, 100, 1, 188
100, 49, 0.1, 100, 2, 176
100, 49, 0.1, 100, 3, 183
100, 49, 0.1, 100, 4, 200
100, 49, 0.1, 100, 5, 183
100, 49, 0.1, 50, 1, 137
100, 49, 0.1, 50, 2, 120
100, 49, 0.1, 50, 3, 155
100, 49, 0.1, 50, 4, 141
100, 49, 0.1, 50, 5, 133
100, 49, 0.1, 30, 1, 116
100, 49, 0.1, 30, 2, 112
100, 49, 0.1, 30, 3, 115
100, 49, 0.1, 30, 4, 124
100, 49, 0.1, 30, 5, 109
100, 49, 0.1, 20, 1, 115
100, 49, 0.1, 20, 2, 98
100, 49, 0.1, 20, 3, 110
100, 49, 0.1, 20, 4, 109
100, 49, 0.1, 20, 5, 100
100, 49, 0.1, 10, 1, 89
100, 49, 0.1, 10, 2, 88
100, 49, 0.1, 10, 3, 100
100, 49, 0.1, 10, 4, 85
100, 49, 0.1, 10, 5, 103
100, 49, 1, 200, 1, 276
100, 49, 1, 200, 2, 279
